"gene","GSM2069823","GSM2069824","GSM2069825","GSM2069826","GSM2069827","GSM2069828","GSM2069829","GSM2069830","GSM2069831","GSM2069832","GSM2069833","GSM2069834","GSM2069835","GSM2069837","GSM2069838","GSM2069839","GSM2069840","GSM2069841","GSM2069842","GSM2069843","GSM2069844","GSM2069845","GSM2069846","GSM2069847","GSM2069848","GSM2069849","GSM2069850"
"DENND2A",0.7826345,0.652384,12.0937,0.4602645,0.5823235,0.4130065,0.807341,0.373768,0.7560115,0.8846975,1.32844,1.56124,0.858005,1.17741,0.401307,3.59545,3.3846,6.21986,0.524969,0.1846435,0.26352,9.131685,4.82855,1.83446,4.82046,0.425976,0.882855
"FCRL1",0.1003658,0.0223298,0.05249245,0,0.03271725,0.00752385,0.01169035,0.155316,0.00979715,0,0.0170757,0.00359002,0.507356,0.06894225,0.793838,0.0922533,0.1393925,0.03323865,0.0939502,0.02850525,0.021796,0.06961905,0,0,0.0191576,0,24.3883
"FCRL2",0.2231055,0.02233265,0.05047655,0.0059963,0,0,0.01341735,0.33149,0,0.022731,0.02525815,0.00403931,0.994611,0.263484,2.623685,0.3397715,0.1577275,0.0486588,0.0525065,0.0328641,0.0379221,0.25318,0.0676258,0,0,0.276783,14.5593
"MS4A1",1.16538,0.2570235,0.525331,0,0.0251083,0.02959075,0.03028495,1.862265,0.01527415,0.02024735,0.1291655,0.0208369,5.135065,0.491926,12.5867,1.385425,0.0591362,0.6650955,0.734874,0.3142505,0.177205,0.8826375,0.0962267,0.102931,0.0486399,0.193117,297.437
"PLCG2",2.58296,2.006825,0.9251145,0.3157555,1.09697,0.2718845,1.10345,1.44836,3.355855,3.14111,2.096205,0.8279405,1.4308,1.490345,4.38418,5.48374,1.345825,0.954236,1.229075,0.8168055,2.03943,0.9639265,1.3473,0.660476,1.888,1.14748,27.4138
"RASL10B",0.05928545,0.185025,11.9278,0.02172655,0.0525735,2.31714,3.23116,0.10791475,2.370405,0.1719455,0.191806,0.170205,0.874672,20.812,0.04795525,0.4371455,6.11624,0.157562,0.195935,0.06438765,0.2221615,0.729104,4.31127,1.37429,1.88165,0.0315739,0.106701
"SCARF2",7.5274,10.30294,11.7647,1.300975,1.28135,9.21985,14.1764,10.303125,19.56265,10.85685,4.512865,10.19595,8.304205,126.248,4.55856,12.8954,19.7195,20.5748,15.27275,10.3755,2.03676,19.9101,29.1752,132.348,66.04,5.71982,93.3117
"SDR42E1",0.0965481,0.6582145,0.0283468,0.19914,0.136078,0.0071547,0.0500605,0.1773225,0,0.02247295,0.12033345,0.1107817,0.483888,0,0.2466185,0.3116085,0.0241149,0.0631597,0.0974331,0.0548755,11.552,0.5127805,0,0,0.0203172,0,0.917838
"TICRR",0.6844205,0.236977,2.21078,0.861404,0.848774,1.212075,0.43665,0.839314,1.519835,1.11529,0.3292695,1.629685,0.634782,2.58393,0.3488685,1.096135,0.7522145,2.230795,1.56051,0.9007715,1.0316115,2.395595,1.49845,0.847591,2.69658,0.687464,1.14333
"TLR1",8.017015,8.977625,2.282685,6.92313,11.42235,0.631641,4.877805,7.268855,1.61976,3.802865,7.93829,2.758535,2.787765,0.7613395,4.608455,8.222925,4.02093,0.9524825,6.77221,6.418705,1.28085,7.79515,0.424936,0.628707,1.41749,1.93817,7.02592
"TRIM71",0.00487187,0.0102526,1.843615,0.00499004,0.00441995,0,0,0,0.111869,0.0080136,0,0.0052281,0,0,0,0.0479217,0.2050315,0.144159,0,0.0381819,0,0.4153725,0.248197,0.169136,0.260412,0.0368807,0
"VARS2",1.289,1.670675,2.341595,3.03759,3.849575,1.237345,2.276495,1.98002,1.189655,0.6403675,1.537555,1.62719,3.937825,4.279985,1.753755,1.76772,2.06591,2.992555,1.50891,1.372005,1.20371,2.261905,3.19993,2.10856,1.57417,4.32858,2.0072
