"check_id","criterion","description","observed","expected","status"
"FILE__Rprofile","U11","Required reproducibility artifact exists: .Rprofile","present","present","PASS"
"FILE_DESCRIPTION","U11","Required reproducibility artifact exists: DESCRIPTION","present","present","PASS"
"FILE_renv_lock","U11","Required reproducibility artifact exists: renv.lock","present","present","PASS"
"FILE_renv_activate_R","U11","Required reproducibility artifact exists: renv/activate.R","present","present","PASS"
"FILE_renv_settings_json","U11","Required reproducibility artifact exists: renv/settings.json","present","present","PASS"
"FILE_results_week4_deployment_environment_strict_csv","U11","Required reproducibility artifact exists: results/week4_deployment_environment_strict.csv","present","present","PASS"
"RENV_EXPLICIT_SNAPSHOT","U11","renv uses explicit dependency snapshot mode","explicit","explicit","PASS"
"RPROFILE_RENV_ACTIVATION","U11",".Rprofile activates the project renv environment","renv activation present","renv activation present","PASS"
"DESCRIPTION_DIRECT_DEPENDENCIES","U11","DESCRIPTION declares the audited strict W3-W4 direct dependencies","AnnotationDbi;caret;edgeR;org.Hs.eg.db;pROC;randomForest;readxl","AnnotationDbi;caret;edgeR;org.Hs.eg.db;pROC;randomForest;readxl","PASS"
"LOCK_PACKAGE_AnnotationDbi","U11","Direct dependency is recorded in renv.lock: AnnotationDbi","1.70.0","recorded","PASS"
"LOCK_PACKAGE_caret","U11","Direct dependency is recorded in renv.lock: caret","7.0-1","recorded","PASS"
"LOCK_PACKAGE_edgeR","U11","Direct dependency is recorded in renv.lock: edgeR","4.6.3","recorded","PASS"
"LOCK_PACKAGE_org_Hs_eg_db","U11","Direct dependency is recorded in renv.lock: org.Hs.eg.db","3.21.0","recorded","PASS"
"LOCK_PACKAGE_pROC","U11","Direct dependency is recorded in renv.lock: pROC","1.19.0.1","recorded","PASS"
"LOCK_PACKAGE_randomForest","U11","Direct dependency is recorded in renv.lock: randomForest","4.7-1.2","recorded","PASS"
"LOCK_PACKAGE_readxl","U11","Direct dependency is recorded in renv.lock: readxl","1.4.5","recorded","PASS"
"LOCK_R_VERSION","U11","renv.lock records the frozen R version","4.5.1","4.5.1","PASS"
"LOCK_BIOCONDUCTOR_VERSION","U11","renv.lock records Bioconductor 3.21","3.21","3.21","PASS"
"FROZEN_VERSION_R","U11","Lockfile matches frozen Week 4 provenance for R","4.5.1","4.5.1","PASS"
"FROZEN_VERSION_edgeR","U11","Lockfile matches frozen Week 4 provenance for edgeR","4.6.3","4.6.3","PASS"
"FROZEN_VERSION_caret","U11","Lockfile matches frozen Week 4 provenance for caret","7.0-1","7.0.1","PASS"
"FROZEN_VERSION_randomForest","U11","Lockfile matches frozen Week 4 provenance for randomForest","4.7-1.2","4.7.1.2","PASS"
"FROZEN_VERSION_pROC","U11","Lockfile matches frozen Week 4 provenance for pROC","1.19.0.1","1.19.0.1","PASS"
"RENV_LIBRARY_NOT_TRACKED","U11","Project-local renv package library is not tracked by Git","none","none","PASS"
