"gene","n_folds_selected","importance"
"LRRC40",5,4.57268679680161
"VMP1",5,2.67442414336855
"RN7SL600P",5,1.1029569175013
"CYSLTR2",5,1.0211775523772
"MEG8",5,0.384945441078274
"GABRE",5,0.240306410519351
"MEG3",5,-0.617962491460326
"CRNKL1",4,6.16340418703971
"ZFP36",4,4.6856620302182
"RNA5S9",4,4.30823388144352
"ATF3",4,4.28352820763544
"RNY3",4,4.0734672597178
"ATP5ME",4,3.27416392930092
"DEPP1",4,2.77683304164899
"HTATSF1",4,2.58975889616951
"EBLN2",4,2.55098728685585
"ARHGAP44",4,2.23051075537241
"KEL",4,2.00082991111813
"TXNDC9",4,1.77138017636518
"BCL2L2",4,1.35210163254527
"DAXX",4,1.16879246270597
"SRSF1",3,4.84790406235824
"STAG3L5P",3,4.77233905905625
"PRPF6",3,2.79937757255048
"ABCF1",3,2.64241912173912
"DCAF8",3,2.55540229300003
"RNY4",3,2.47165093036937
"HNRNPM",3,2.37480769538555
"PRPF31",3,2.35928631296097
"SDHAF1",3,2.26372464528165
"PSMD8",3,2.16558107512816
"H2BC12",3,2.04784287574104
"XAB2",3,1.92748999908956
"DDX49",3,1.91944203227232
"CDK4",3,1.84381843444916
"SIK1B",3,1.73701921237002
"CEP89",3,1.72047351503295
"NELFE",3,1.70147127694731
"RIPOR3",3,1.65429098561541
"H2BC13",3,1.45046600533103
"ITGA8",3,1.07785597909352
"MAPK10",3,1.05018944284641
"SLC7A11",3,0.712772657803638
"IL1RN",3,-1.63205310135505
"H2AC12",2,4.02470037268559
"MZT2B",2,3.53732140305191
"NDUFV2",2,3.53619246065843
"KANSL1",2,3.47721992503961
"ITM2B",2,3.19492355888464
"PEMT",2,3.03834997448088
"CERS5",2,2.6605547301994
"CUEDC2",2,2.60331385459103
"PRPF8",2,2.48663712880513
"CHMP2A",2,2.38096576424729
"COPS3",2,2.34043749691298
"H4C3",2,2.31806807552416
"ZNF100",2,2.31466947759224
"RRP9",2,2.19816874232191
"RNF138",2,2.02764776497106
"GCNT1P3",2,1.87428386106045
"H2BC11",2,1.76691228272998
"H4C5",2,1.75436228008831
"WSB1",2,1.74859187606208
"SPDYA",2,1.72759372496744
"ILF2",2,1.70367191109151
"MRVI1",2,1.23917760330728
"COL13A1",2,1.16719524369803
"TTC39B",2,1.12829083361503
"COX5B",2,0.868978567001323
"HNRNPUL1",2,0.608888957929463
"PDHB",2,0.527354898439832
"NEBL",2,0.479960053578445
"BTBD19",2,0.325625873801445
"PRKCSH",2,0.0534825125810773
"CARMN",2,-0.408886314531031
"SOX4",2,-0.727914091642032
"MED30",1,3.02195072988399
"RN7SL648P",1,2.02828243519301
"MALAT1",1,1.6734976061688
"SNAPC3",1,1.30800577838749
"MTND1P23",1,1.15047014288723
"EGFL7",1,0.70318681788543
"LMLN",1,0.690554984819397
