"gene_id","keep_exploratory"
"TSPAN6",TRUE
"DPM1",TRUE
"SCYL3",TRUE
"C1orf112",TRUE
"FGR",TRUE
"CFH",TRUE
"FUCA2",TRUE
"GCLC",TRUE
"NFYA",TRUE
"STPG1",TRUE
"NIPAL3",TRUE
"LAS1L",TRUE
"ENPP4",TRUE
"SEMA3F",TRUE
"CFTR",FALSE
"ANKIB1",TRUE
"CYP51A1",TRUE
"KRIT1",TRUE
"RAD52",TRUE
"BAD",TRUE
"LAP3",TRUE
"HS3ST1",TRUE
"HECW1",TRUE
"MAD1L1",TRUE
"LASP1",TRUE
"SNX11",TRUE
"TMEM176A",TRUE
"M6PR",TRUE
"KLHL13",TRUE
"CYP26B1",TRUE
"ICA1",TRUE
"DBNDD1",TRUE
"ALS2",TRUE
"CASP10",TRUE
"CFLAR",TRUE
"TFPI",TRUE
"NDUFAF7",TRUE
"RBM5",TRUE
"SLC7A2",TRUE
"ARF5",TRUE
"SARM1",TRUE
"POLDIP2",TRUE
"PLXND1",TRUE
"AK2",TRUE
"CD38",TRUE
"FKBP4",TRUE
"KDM1A",TRUE
"RBM6",TRUE
"CAMKK1",TRUE
"RECQL",TRUE
"VPS50",TRUE
"HSPB6",TRUE
"ARHGAP33",TRUE
"NDUFAB1",TRUE
"PDK4",TRUE
"ABCB5",TRUE
"SLC25A13",TRUE
"ST7",TRUE
"CDC27",TRUE
"HCCS",TRUE
"DVL2",TRUE
"UPF1",TRUE
"SKAP2",TRUE
"SLC25A5",TRUE
"MCUB",TRUE
"HOXA11",TRUE
"POLR2J",TRUE
"DHX33",TRUE
"MEOX1",TRUE
"THSD7A",TRUE
"LIG3",TRUE
"RPAP3",TRUE
"ACSM3",TRUE
"REXO5",TRUE
"CIAPIN1",TRUE
"SPPL2B",TRUE
"FAM214B",TRUE
"COPZ2",TRUE
"PRKAR2B",TRUE
"MSL3",TRUE
"CREBBP",TRUE
"TSPOAP1",TRUE
"GCFC2",TRUE
"WDR54",TRUE
"CROT",TRUE
"ABCB4",TRUE
"KMT2E",TRUE
"RHBDD2",TRUE
"SOX8",TRUE
"IBTK",TRUE
"ZNF195",TRUE
"MYCBP2",TRUE
"FBXL3",TRUE
"ITGAL",TRUE
"PDK2",TRUE
"ITGA3",TRUE
"ZFX",TRUE
"LAMP2",TRUE
"ITGA2B",FALSE
"ASB4",FALSE
"GDE1",TRUE
"REX1BD",TRUE
"CRLF1",FALSE
"OSBPL7",TRUE
"TMEM98",TRUE
"YBX2",FALSE
"MAP3K14",TRUE
"ABCC8",FALSE
"TMEM132A",TRUE
"AP2B1",TRUE
"ZNF263",TRUE
"CX3CL1",TRUE
"SPATA20",TRUE
"CACNA1G",FALSE
"TNFRSF12A",TRUE
"DLX6",FALSE
"MAP3K9",TRUE
"RALA",TRUE
"BAIAP2L1",TRUE
"KDM7A",TRUE
"ETV1",TRUE
"AGK",TRUE
"ALDH3B1",TRUE
"TTC22",FALSE
"PHTF2",TRUE
"FARP2",TRUE
"USH1C",FALSE
"GGCT",TRUE
"DBF4",TRUE
"TBXA2R",TRUE
"IFRD1",TRUE
"COX10",TRUE
"GTF2IRD1",TRUE
"PAF1",TRUE
"VPS41",TRUE
"ARHGAP44",TRUE
"ELAC2",TRUE
"SCIN",TRUE
"ARSD",TRUE
"PNPLA4",TRUE
"ADIPOR2",TRUE
"CDKL3",TRUE
"MARK4",TRUE
"PROM1",TRUE
"CCDC124",TRUE
"CEACAM21",TRUE
"PAFAH1B1",TRUE
"NOS2",FALSE
"DNAH9",FALSE
"KIAA0100",TRUE
"TRAPPC6A",TRUE
"MATK",TRUE
"CD79B",TRUE
"SCN4A",FALSE
"ST7L",TRUE
"TKTL1",FALSE
"PAX6",FALSE
"RPUSD1",TRUE
"RHBDF1",TRUE
"LUC7L",TRUE
"CACNA2D2",TRUE
"BAIAP3",TRUE
"TSR3",TRUE
"PIGQ",TRUE
"CRAMP1",TRUE
"TEAD3",TRUE
"SELE",TRUE
"DNAJC11",TRUE
"FMO3",FALSE
"MYLIP",TRUE
"E2F2",TRUE
"PSMB1",TRUE
"JARID2",TRUE
"CDKL5",TRUE
"CAMK1G",FALSE
"CDK11A",TRUE
"NADK",TRUE
"TFAP2B",FALSE
"DLEC1",TRUE
"CYTH3",TRUE
"ADAM22",TRUE
"SYPL1",TRUE
"CYB561",TRUE
"SPAG9",TRUE
"CELSR3",TRUE
"AASS",TRUE
"SS18L2",TRUE
"MPND",TRUE
"MGST1",TRUE
"CRY1",TRUE
"NFIX",TRUE
"ST3GAL1",TRUE
"MMP25",TRUE
"IL32",TRUE
"PKD1",TRUE
"MAPK8IP2",TRUE
"MED24",TRUE
"RHOBTB2",TRUE
"HEATR5B",TRUE
"SEC62",TRUE
"RPS20",TRUE
"CSDE1",TRUE
"UBE3C",TRUE
"REV3L",TRUE
"TENM1",TRUE
"FAM76A",TRUE
"TRAF3IP3",TRUE
"POMT2",TRUE
"VTA1",TRUE
"MLXIPL",FALSE
"BAZ1B",TRUE
"RANBP9",TRUE
"ETV7",TRUE
"SPRTN",TRUE
"EEF1AKNMT",TRUE
"DYRK4",TRUE
"ZNF207",TRUE
"UQCRC1",TRUE
"STARD3NL",TRUE
"CD9",TRUE
"HHATL",FALSE
"NCAPD2",TRUE
"IFFO1",TRUE
"GIPR",TRUE
"PHF7",TRUE
"SEMA3G",TRUE
"NISCH",TRUE
"STAB1",TRUE
"FUZ",TRUE
"IDS",TRUE
"ZNF200",TRUE
"CD4",TRUE
"LRRC23",TRUE
"BTK",TRUE
"HFE",TRUE
"SCMH1",TRUE
"FYN",TRUE
"HIVEP2",TRUE
"FMO1",TRUE
"ELOA",TRUE
"LYPLA2",TRUE
"CLCN6",TRUE
"MRC2",TRUE
"TSPAN9",TRUE
"BTBD7",TRUE
"APBA3",TRUE
"MKS1",TRUE
"ABHD5",TRUE
"ANOS1",TRUE
"AKAP8L",TRUE
"MBTD1",TRUE
"UTP18",TRUE
"RNF216",TRUE
"TTC19",TRUE
"PTBP1",TRUE
"DPF1",FALSE
"SYT7",TRUE
"LARS2",TRUE
"PIK3C2A",TRUE
"PLAUR",TRUE
"ANLN",TRUE
"WIZ",TRUE
"RABGAP1",TRUE
"DCN",TRUE
"QPCTL",TRUE
"PPP5C",TRUE
"CEP68",TRUE
"MAP4K3",TRUE
"TYROBP",TRUE
"TMEM159",TRUE
"GABRA3",TRUE
"BRCA1",TRUE
"ERCC1",TRUE
"CD22",TRUE
"SEMA3B",TRUE
"MBTPS2",TRUE
"PRICKLE3",TRUE
"LTF",FALSE
"EXTL3",TRUE
"ELOVL5",TRUE
"ALOX5",TRUE
"KDM5D",TRUE
"CALCOCO1",TRUE
"UBR7",TRUE
"MAP4K5",TRUE
"EHD3",TRUE
"PSMC4",TRUE
"MAN2B2",TRUE
"CLDN11",TRUE
"SLC25A39",TRUE
"MVP",TRUE
"NUB1",TRUE
"PGM3",TRUE
"RWDD2A",TRUE
"CLK1",TRUE
"POLR3B",TRUE
"ANGEL1",TRUE
"RNF14",TRUE
"DNASE1L1",TRUE
"DDX11",TRUE
"HEBP1",TRUE
"GPRC5A",TRUE
"MAMLD1",TRUE
"CD6",TRUE
"TACC3",TRUE
"UFL1",TRUE
"POLA2",TRUE
"ZC3H3",TRUE
"CAPN1",TRUE
"ACPP",TRUE
"MDH1",TRUE
"SLC30A9",TRUE
"MTMR11",TRUE
"COX15",TRUE
"CCDC88C",TRUE
"YAF2",TRUE
"ZMYND11",TRUE
"WAS",TRUE
"BID",TRUE
"MATR3",TRUE
"XYLT2",TRUE
"RGPD5",TRUE
"NUDCD3",TRUE
"ISL1",FALSE
"CHDH",TRUE
"GLT8D1",TRUE
"ATP2C1",TRUE
"IGF1",TRUE
"SLC38A5",TRUE
"RALBP1",TRUE
"RUFY3",TRUE
"CNTN1",TRUE
"SLC11A1",TRUE
"WWTR1",TRUE
"AGPS",TRUE
"CXorf56",TRUE
"ATP1A2",FALSE
"TTC27",TRUE
"ZNF582",TRUE
"PHLDB1",TRUE
"MARCO",TRUE
"PRDM11",TRUE
"SNAI2",TRUE
"CD74",TRUE
"HGF",TRUE
"ZRANB1",TRUE
"NCDN",TRUE
"ADGRA2",TRUE
"ZFP64",TRUE
"MNAT1",TRUE
"SAMD4A",TRUE
"RUNX3",TRUE
"MRE11",TRUE
"PLEKHB1",TRUE
"SERPINB1",TRUE
"SPAST",TRUE
"NRXN3",TRUE
"OSBPL5",TRUE
"AQR",TRUE
"CPS1",TRUE
"FHL1",TRUE
"RTF2",TRUE
"NLRP2",TRUE
"SLC45A4",TRUE
"RNF10",TRUE
"ZNF839",TRUE
"ZDHHC6",TRUE
"GRAMD1B",TRUE
"RNH1",TRUE
"NDUFS1",TRUE
"RB1CC1",TRUE
"ERP44",TRUE
"ALAS1",TRUE
"BIRC3",TRUE
"AKAP11",TRUE
"GLRX2",TRUE
"SNAPC1",TRUE
"DERA",TRUE
"STRAP",TRUE
"ABCC2",TRUE
"DEF6",TRUE
"PLEKHO1",TRUE
"GCLM",TRUE
"UBR2",TRUE
"EHD2",TRUE
"DEPDC1",TRUE
"CCDC28A",TRUE
"RRAGD",TRUE
"HSF2",TRUE
"PHF20",TRUE
"NR1H3",TRUE
"TYMP",TRUE
"NCAPH2",TRUE
"TOMM34",TRUE
"SEC63",TRUE
"KPNA6",TRUE
"VIM",TRUE
"RTEL1-TNFRSF6B",TRUE
"FAS",TRUE
"RNASET2",TRUE
"CD44",TRUE
"KCNG1",TRUE
"AGPAT4",TRUE
"SLAMF7",TRUE
"BTN3A1",TRUE
"MIPEP",TRUE
"PRKCH",TRUE
"IFNGR1",TRUE
"B4GALT7",TRUE
"SH2D2A",TRUE
"VRK2",TRUE
"TNFRSF1B",TRUE
"VEZT",TRUE
"POU2F2",TRUE
"BRD9",TRUE
"SNX1",TRUE
"TBPL1",TRUE
"ARNTL2",TRUE
"BCLAF1",TRUE
"SLC39A9",TRUE
"ANK1",TRUE
"TFB1M",TRUE
"RABEP1",TRUE
"HMGB3",TRUE
"NUP160",TRUE
"BAK1",TRUE
"IKZF2",TRUE
"GRN",TRUE
"FAM13B",TRUE
"ARHGAP31",TRUE
"CENPQ",TRUE
"SARS1",TRUE
