"component","variance_percent","cumulative_variance_percent"
"PC1",17.2421968344698,17.2421968344698
"PC2",10.1394605225612,27.381657357031
"PC3",6.50345938691003,33.8851167439411
"PC4",6.28993657662312,40.1750533205642
"PC5",4.62081852881552,44.7958718493797
"PC6",3.59742659930669,48.3932984486864
"PC7",3.43092645842603,51.8242249071124
"PC8",3.26272317496201,55.0869480820744
"PC9",2.86012572663554,57.94707380871
"PC10",2.70700249248632,60.6540763011963
"PC11",2.65888278147782,63.3129590826741
"PC12",2.56122290017109,65.8741819828452
"PC13",2.37999699384691,68.2541789766921
"PC14",2.1809607509615,70.4351397276536
"PC15",2.12198504176108,72.5571247694147
"PC16",2.06123521274172,74.6183599821564
"PC17",1.97065622147932,76.5890162036358
"PC18",1.87314595728533,78.4621621609211
"PC19",1.76963778482873,80.2317999457498
"PC20",1.73571919920975,81.9675191449596
"PC21",1.67329715520939,83.6408163001689
"PC22",1.52411025274006,85.164926552909
"PC23",1.51198874784206,86.676915300751
"PC24",1.41369478802882,88.0906100887799
"PC25",1.35982155714902,89.4504316459289
"PC26",1.32138834552435,90.7718199914532
"PC27",1.28089441226452,92.0527144037178
"PC28",1.19653003140039,93.2492444351182
"PC29",1.16585611193976,94.4151005470579
"PC30",1.07559731190256,95.4906978589605
"PC31",1.01574497052891,96.5064428294894
"PC32",0.99311926608015,97.4995620955695
"PC33",0.937248892423506,98.4368109879931
"PC34",0.811586654300137,99.2483976422932
"PC35",0.751602357706813,100
"PC36",2.84928797363627e-29,100
