"gene","outer_folds_selected","selection_fraction","stability_tier"
"DENND2A",5,1,"core_consensus_5of5"
"FCRL1",5,1,"core_consensus_5of5"
"FCRL2",5,1,"core_consensus_5of5"
"MS4A1",5,1,"core_consensus_5of5"
"PLCG2",5,1,"core_consensus_5of5"
"RASL10B",5,1,"core_consensus_5of5"
"SCARF2",5,1,"core_consensus_5of5"
"SDR42E1",5,1,"core_consensus_5of5"
"TICRR",5,1,"core_consensus_5of5"
"TLR1",5,1,"core_consensus_5of5"
"TRIM71",5,1,"core_consensus_5of5"
"VARS2",5,1,"core_consensus_5of5"
"ALPK1",4,0.8,"high_stability_4of5"
"COL20A1",4,0.8,"high_stability_4of5"
"FBL",4,0.8,"high_stability_4of5"
"FOXK2",4,0.8,"high_stability_4of5"
"HROB",4,0.8,"high_stability_4of5"
"IGLV2-23",4,0.8,"high_stability_4of5"
"ITSN2",4,0.8,"high_stability_4of5"
"MIR29B2CHG",4,0.8,"high_stability_4of5"
"RELN",4,0.8,"high_stability_4of5"
"SLC29A4",4,0.8,"high_stability_4of5"
"TK1",4,0.8,"high_stability_4of5"
"TLR10",4,0.8,"high_stability_4of5"
"TPK1",4,0.8,"high_stability_4of5"
