"gene","outer_folds_selected","selection_fraction"
"DENND2A",5,1
"FCRL1",5,1
"FCRL2",5,1
"MS4A1",5,1
"PLCG2",5,1
"RASL10B",5,1
"SCARF2",5,1
"SDR42E1",5,1
"TICRR",5,1
"TLR1",5,1
"TRIM71",5,1
"VARS2",5,1
"ALPK1",4,0.8
"COL20A1",4,0.8
"FBL",4,0.8
"FOXK2",4,0.8
"HROB",4,0.8
"IGLV2-23",4,0.8
"ITSN2",4,0.8
"MIR29B2CHG",4,0.8
"RELN",4,0.8
"SLC29A4",4,0.8
"TK1",4,0.8
"TLR10",4,0.8
"TPK1",4,0.8
"ADAMTS7",3,0.6
"ASTN2",3,0.6
"BIRC5",3,0.6
"CPNE5",3,0.6
"CYLD",3,0.6
"DACT3",3,0.6
"ERAP2",3,0.6
"ERMN",3,0.6
"KIF5C",3,0.6
"NTN1",3,0.6
"PATL2",3,0.6
"PCDHA10",3,0.6
"PIMREG",3,0.6
"RAB37",3,0.6
"RHOH",3,0.6
"RPL32P1",3,0.6
"SIDT1",3,0.6
"SIX4",3,0.6
"SLC16A7",3,0.6
"SQLE",3,0.6
"TBKBP1",3,0.6
"TMEM97",3,0.6
"TTN",3,0.6
"TUBB",3,0.6
"UBE2O",3,0.6
"WAKMAR2",3,0.6
"BANK1",2,0.4
"BCL2L12",2,0.4
"BLK",2,0.4
"BYSL",2,0.4
"CDC6",2,0.4
"CDH24",2,0.4
"DGLUCY",2,0.4
"ERCC2",2,0.4
"EXTL3",2,0.4
"FCHO1",2,0.4
"FKBP4",2,0.4
"FPGT-TNNI3K",2,0.4
"HCP5",2,0.4
"IGF2",2,0.4
"IRF1-AS1",2,0.4
"ITGB2-AS1",2,0.4
"KCNG1",2,0.4
"KIAA1549",2,0.4
"KIF18B",2,0.4
"KLRD1",2,0.4
"LINC02362",2,0.4
"MARK4",2,0.4
"MEOX2",2,0.4
"MEX3A",2,0.4
"MIR155HG",2,0.4
"NAAA",2,0.4
"OGFOD3",2,0.4
"PAK4",2,0.4
"PCDHA9",2,0.4
"PCDHAC1",2,0.4
"RNF165",2,0.4
"RPS19",2,0.4
"SBK1",2,0.4
"SLAMF1",2,0.4
"SMPDL3A",2,0.4
"ST6GAL2",2,0.4
"SUPT5H",2,0.4
"THAP10",2,0.4
"TOMM40",2,0.4
"TRO",2,0.4
"UBE2J1",2,0.4
"VASH2",2,0.4
"XPO5",2,0.4
"ZC3H12D",2,0.4
"ZNF286A",2,0.4
"ZNF571-AS1",2,0.4
"ZNF579",2,0.4
"ZNF724",2,0.4
"ZNF850",2,0.4
"A2M-AS1",1,0.2
"ABCD2",1,0.2
"ABCF1",1,0.2
"ADAM28",1,0.2
"ALDH1A2",1,0.2
"ALYREF",1,0.2
"ANKRD22",1,0.2
"APOL3",1,0.2
"ARHGAP18",1,0.2
"ARL6IP5",1,0.2
"ARRDC5",1,0.2
"ASIC1",1,0.2
"BRPF3",1,0.2
"BTLA",1,0.2
"C19orf47",1,0.2
"CACNA2D4",1,0.2
"CASP17P",1,0.2
"CAST",1,0.2
"CBX7",1,0.2
"CCAR2",1,0.2
"CCDC88B",1,0.2
"CCL19",1,0.2
"CD22",1,0.2
"CD27",1,0.2
"CD3D",1,0.2
"CD52",1,0.2
"CD58",1,0.2
"CD69",1,0.2
"CD79A",1,0.2
"CD8A",1,0.2
"CD96",1,0.2
"CECR2",1,0.2
"CEP131",1,0.2
