"gene","present_in_strict_selected_312","strict_outer_folds_selected","strict_selection_fraction","strict_stability_tier","present_in_validated_input"
"CYSLTR2",FALSE,0,0,"not_selected",TRUE
"GABRE",FALSE,0,0,"not_selected",TRUE
"LRRC40",FALSE,0,0,"not_selected",TRUE
"MEG3",FALSE,0,0,"not_selected",TRUE
"MEG8",FALSE,0,0,"not_selected",TRUE
"MIR3609",FALSE,0,0,"not_selected",TRUE
"RN7SKP255",FALSE,0,0,"not_selected",TRUE
"RN7SL600P",FALSE,0,0,"not_selected",TRUE
"RNU6ATAC",FALSE,0,0,"not_selected",TRUE
"SNORA37",FALSE,0,0,"not_selected",TRUE
"SNORA53",FALSE,0,0,"not_selected",TRUE
"SNORD3C",FALSE,0,0,"not_selected",TRUE
"VMP1",FALSE,0,0,"not_selected",TRUE
