"gene","historical_5of5","strict_5of5","category"
"CYSLTR2",TRUE,FALSE,"historical_only"
"DENND2A",FALSE,TRUE,"strict_only"
"FCRL1",FALSE,TRUE,"strict_only"
"FCRL2",FALSE,TRUE,"strict_only"
"GABRE",TRUE,FALSE,"historical_only"
"LRRC40",TRUE,FALSE,"historical_only"
"MEG3",TRUE,FALSE,"historical_only"
"MEG8",TRUE,FALSE,"historical_only"
"MIR3609",TRUE,FALSE,"historical_only"
"MS4A1",FALSE,TRUE,"strict_only"
"PLCG2",FALSE,TRUE,"strict_only"
"RASL10B",FALSE,TRUE,"strict_only"
"RN7SKP255",TRUE,FALSE,"historical_only"
"RN7SL600P",TRUE,FALSE,"historical_only"
"RNU6ATAC",TRUE,FALSE,"historical_only"
"SCARF2",FALSE,TRUE,"strict_only"
"SDR42E1",FALSE,TRUE,"strict_only"
"SNORA37",TRUE,FALSE,"historical_only"
"SNORA53",TRUE,FALSE,"historical_only"
"SNORD3C",TRUE,FALSE,"historical_only"
"TICRR",FALSE,TRUE,"strict_only"
"TLR1",FALSE,TRUE,"strict_only"
"TRIM71",FALSE,TRUE,"strict_only"
"VARS2",FALSE,TRUE,"strict_only"
"VMP1",TRUE,FALSE,"historical_only"
