"outer_fold","inner_fold","mtry","training_samples","validation_samples","genes_after_filterByExpr","Accuracy","Sensitivity","Specificity","Balanced_Accuracy","AUC"
1,1,2,20,10,15117,0.7,0.833333333333333,0.5,0.666666666666667,0.916666666666667
1,1,10,20,10,15117,0.8,1,0.5,0.75,0.958333333333333
1,1,25,20,10,15117,0.8,0.833333333333333,0.75,0.791666666666667,0.958333333333333
1,2,2,20,10,14951,0.9,1,0.75,0.875,0.833333333333333
1,2,10,20,10,14951,0.8,1,0.5,0.75,0.833333333333333
1,2,25,20,10,14951,0.8,1,0.5,0.75,0.770833333333333
1,3,2,20,10,14847,0.9,1,0.75,0.875,0.916666666666667
1,3,10,20,10,14847,0.9,1,0.75,0.875,0.916666666666667
1,3,25,20,10,14847,0.9,1,0.75,0.875,0.916666666666667
2,1,2,20,9,14799,1,1,1,1,1
2,1,10,20,9,14799,1,1,1,1,1
2,1,25,20,9,14799,1,1,1,1,1
2,2,2,19,10,15153,0.6,1,0,0.5,0.791666666666667
2,2,10,19,10,15153,0.7,1,0.25,0.625,0.854166666666667
2,2,25,19,10,15153,0.6,1,0,0.5,0.875
2,3,2,19,10,15383,0.5,0.333333333333333,0.75,0.541666666666667,0.5
2,3,10,19,10,15383,0.5,0.333333333333333,0.75,0.541666666666667,0.5
2,3,25,19,10,15383,0.5,0.333333333333333,0.75,0.541666666666667,0.5
3,1,2,19,10,15186,0.9,1,0.75,0.875,1
3,1,10,19,10,15186,0.9,1,0.75,0.875,0.958333333333333
3,1,25,19,10,15186,0.9,1,0.75,0.875,1
3,2,2,20,9,14819,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.527777777777778
3,2,10,20,9,14819,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5
3,2,25,20,9,14819,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.472222222222222
3,3,2,19,10,15414,0.6,0.666666666666667,0.5,0.583333333333333,0.583333333333333
3,3,10,19,10,15414,0.6,0.666666666666667,0.5,0.583333333333333,0.583333333333333
3,3,25,19,10,15414,0.6,0.666666666666667,0.5,0.583333333333333,0.625
4,1,2,18,10,14951,0.8,0.833333333333333,0.75,0.791666666666667,0.833333333333333
4,1,10,18,10,14951,0.8,0.833333333333333,0.75,0.791666666666667,0.875
4,1,25,18,10,14951,0.9,1,0.75,0.875,0.875
4,2,2,19,9,14888,0.777777777777778,0.666666666666667,1,0.833333333333333,1
4,2,10,19,9,14888,0.777777777777778,0.666666666666667,1,0.833333333333333,1
4,2,25,19,9,14888,0.888888888888889,0.833333333333333,1,0.916666666666667,0.944444444444444
4,3,2,19,9,15184,0.888888888888889,1,0.75,0.875,1
4,3,10,19,9,15184,0.888888888888889,1,0.75,0.875,0.85
4,3,25,19,9,15184,0.888888888888889,1,0.75,0.875,0.925
5,1,2,19,9,14713,0.666666666666667,0.833333333333333,0.333333333333333,0.583333333333333,0.777777777777778
5,1,10,19,9,14713,0.666666666666667,0.833333333333333,0.333333333333333,0.583333333333333,0.833333333333333
5,1,25,19,9,14713,0.777777777777778,0.833333333333333,0.666666666666667,0.75,0.833333333333333
5,2,2,18,10,14954,0.8,1,0.5,0.75,1
5,2,10,18,10,14954,0.8,1,0.5,0.75,1
5,2,25,18,10,14954,0.9,1,0.75,0.875,1
5,3,2,19,9,15065,1,1,1,1,1
5,3,10,19,9,15065,0.777777777777778,0.8,0.75,0.775,0.95
5,3,25,19,9,15065,0.777777777777778,0.8,0.75,0.775,0.95
