"outer_fold","mtry","mean_Accuracy","mean_Sensitivity","mean_Specificity","mean_Balanced_Accuracy","mean_AUC","sd_Balanced_Accuracy","sd_AUC","selected"
1,2,0.833333333333333,0.944444444444444,0.666666666666667,0.805555555555556,0.888888888888889,0.120281306081172,0.0481125224324688,TRUE
1,25,0.833333333333333,0.944444444444444,0.666666666666667,0.805555555555556,0.881944444444444,0.0636468846521644,0.098454492213596,FALSE
1,10,0.833333333333333,1,0.583333333333333,0.791666666666667,0.902777777777778,0.0721687836487032,0.0636468846521644,FALSE
2,10,0.733333333333333,0.777777777777778,0.666666666666667,0.722222222222222,0.784722222222222,0.244144386545096,0.257132063632967,TRUE
2,25,0.7,0.777777777777778,0.583333333333333,0.680555555555556,0.791666666666667,0.277430338269975,0.260208249933267,FALSE
2,2,0.7,0.777777777777778,0.583333333333333,0.680555555555556,0.763888888888889,0.277430338269975,0.251154740555905,FALSE
3,2,0.722222222222222,0.777777777777778,0.638888888888889,0.708333333333333,0.703703703703704,0.150231303144333,0.258099256754932,TRUE
3,25,0.722222222222222,0.777777777777778,0.638888888888889,0.708333333333333,0.699074074074074,0.150231303144333,0.27157424770486,FALSE
3,10,0.722222222222222,0.777777777777778,0.638888888888889,0.708333333333333,0.680555555555556,0.150231303144333,0.244144386545096,FALSE
4,25,0.892592592592593,0.944444444444444,0.833333333333333,0.888888888888889,0.914814814814815,0.0240562612162344,0.0358250780039872,TRUE
4,2,0.822222222222222,0.833333333333333,0.833333333333333,0.833333333333333,0.944444444444444,0.0416666666666666,0.0962250448649376,FALSE
4,10,0.822222222222222,0.833333333333333,0.833333333333333,0.833333333333333,0.908333333333333,0.0416666666666666,0.080363756341608,FALSE
5,25,0.818518518518519,0.877777777777778,0.722222222222222,0.8,0.927777777777778,0.0661437827766148,0.085526690657448,TRUE
5,2,0.822222222222222,0.944444444444444,0.611111111111111,0.777777777777778,0.925925925925926,0.209717623201965,0.128300059819917,FALSE
5,10,0.748148148148148,0.877777777777778,0.527777777777778,0.702777777777778,0.927777777777778,0.104194440741728,0.085526690657448,FALSE
