"outer_fold","rank","gene"
1,1,"SDR42E1"
1,2,"COL20A1"
1,3,"RASL10B"
1,4,"FCRL1"
1,5,"MARK4"
1,6,"KIAA0040"
1,7,"TCF7L1"
1,8,"PCDHA4"
1,9,"VARS2"
1,10,"PLCG2"
1,11,"ZNF850"
1,12,"RPL32P1"
1,13,"RBPMS2"
1,14,"MIR29B2CHG"
1,15,"CPNE5"
1,16,"PAK4"
1,17,"TK1"
1,18,"TBKBP1"
1,19,"FBL"
1,20,"TICRR"
1,21,"DENND2A"
1,22,"ZNF579"
1,23,"SLC29A4"
1,24,"SLC16A7"
1,25,"TLR10"
1,26,"CSNK2B"
1,27,"KIF5C"
1,28,"TUBB"
1,29,"TMEM97"
1,30,"FCRL2"
1,31,"CCAR2"
1,32,"MS4A1"
1,33,"SDHAF1"
1,34,"THAP10"
1,35,"TLR1"
1,36,"ITSN2"
1,37,"UBE2O"
1,38,"ZNF492"
1,39,"JPT1"
1,40,"DACT3"
1,41,"IGLV2-23"
1,42,"HROB"
1,43,"ADAMTS7"
1,44,"TRIM71"
1,45,"RNF165"
1,46,"BIRC5"
1,47,"SUPT5H"
1,48,"ZNF571-AS1"
1,49,"LRRC8C"
1,50,"PCDHA10"
1,51,"COL4A4"
1,52,"NTN1"
1,53,"PIMREG"
1,54,"BANK1"
1,55,"PCDHA9"
1,56,"NKX2-2"
1,57,"UBE2J1"
1,58,"LINC02362"
1,59,"GSK3A"
1,60,"ERAP2"
1,61,"FOXK2"
1,62,"SBK1"
1,63,"ALPK1"
1,64,"HMBOX1"
1,65,"KIFC1"
1,66,"ERCC2"
1,67,"WAKMAR2"
1,68,"HNRNPUL1"
1,69,"RELN"
1,70,"SIDT1"
1,71,"CAST"
1,72,"TTN"
1,73,"CACNA2D4"
1,74,"FOXC1"
1,75,"ABCF1"
1,76,"ZNF221"
1,77,"SMPDL3A"
1,78,"TC2N"
1,79,"PCDHAC1"
1,80,"PRR3"
1,81,"DGLUCY"
1,82,"SLAMF1"
1,83,"LMAN2L"
1,84,"CD58"
1,85,"MIR155HG"
1,86,"TPK1"
1,87,"EXTL3"
1,88,"SCARF2"
1,89,"KIF18B"
1,90,"LRBA"
1,91,"TRO"
1,92,"HOXB4"
1,93,"BYSL"
1,94,"RHOH"
1,95,"PPP2R5D"
1,96,"RPS19"
1,97,"ZNF286A"
1,98,"SIX4"
1,99,"FPGT-TNNI3K"
1,100,"GPR155"
2,1,"SDR42E1"
2,2,"IGLV1-44"
2,3,"KCNG1"
2,4,"KLRK1"
2,5,"COL20A1"
2,6,"FCRL1"
2,7,"GPC1"
2,8,"IGLV2-23"
2,9,"ERAP2"
2,10,"MIR29B2CHG"
2,11,"ASIC1"
2,12,"TLR1"
2,13,"RAC3"
2,14,"VARS2"
2,15,"ASTN2"
2,16,"TUBB"
2,17,"FCRL2"
2,18,"BLK"
2,19,"TICRR"
2,20,"WAKMAR2"
2,21,"TMEM97"
2,22,"GINS4"
2,23,"ERMN"
2,24,"TK1"
2,25,"SQLE"
2,26,"ALPK1"
2,27,"SCARF2"
2,28,"IRF1-AS1"
2,29,"LINC02362"
2,30,"IRF2"
2,31,"RASL10B"
2,32,"FBL"
2,33,"TLR10"
2,34,"DENND2A"
2,35,"PEG3"
2,36,"ZNF579"
2,37,"UNG"
2,38,"CDC6"
2,39,"HSH2D"
2,40,"TBKBP1"
2,41,"ARRDC5"
2,42,"TRIM28"
2,43,"IGHV1-2"
2,44,"IGLV2-8"
2,45,"TRIM71"
2,46,"BCL2L12"
2,47,"SLC16A7"
2,48,"THAP10"
2,49,"SIDT1"
2,50,"PCDHA10"
2,51,"TOMM40"
2,52,"KLRD1"
2,53,"CDH24"
2,54,"CYLD"
2,55,"RAB37"
2,56,"TMEM156"
2,57,"ITSN2"
2,58,"RTEL1-TNFRSF6B"
2,59,"PIMREG"
2,60,"FCHO1"
2,61,"FAM214A"
2,62,"PLCG2"
2,63,"FOXK2"
2,64,"RGS17P1"
2,65,"REL"
2,66,"TRGC2"
2,67,"KHSRP"
2,68,"RPL32P1"
2,69,"ZNF730"
