"mtry","Accuracy","Kappa","AccuracySD","KappaSD"
1,0.863095238095238,0.71352380952381,0.0902723267148994,0.190555221699661
2,0.863095238095238,0.71352380952381,0.0902723267148994,0.190555221699661
3,0.863095238095238,0.71352380952381,0.0902723267148994,0.190555221699661
4,0.838095238095238,0.647589743589744,0.102616009235762,0.240670332764507
5,0.838095238095238,0.647589743589744,0.102616009235762,0.240670332764507
6,0.813095238095238,0.599238095238095,0.138423255749987,0.318433239300103
7,0.813095238095238,0.599238095238095,0.138423255749987,0.318433239300103
8,0.813095238095238,0.599238095238095,0.138423255749987,0.318433239300103
9,0.813095238095238,0.599238095238095,0.138423255749987,0.318433239300103
10,0.813095238095238,0.599238095238095,0.138423255749987,0.318433239300103
11,0.813095238095238,0.599238095238095,0.138423255749987,0.318433239300103
12,0.813095238095238,0.599238095238095,0.138423255749987,0.318433239300103
